,F1,F2,F3,F4,F5,F6
mean_protected_share_k50,0.114,0.887,0.146,-0.053,-0.011,-0.002
std_protected_share_k50,-0.002,0.706,-0.173,-0.072,0.042,0.064
mean_dist_turbine_log_k50,0.951,0.206,-0.011,-0.074,0.09,0.082
std_dist_turbine_log_k50,-0.615,0.002,-0.216,0.022,-0.023,0.04
mean_persons_log_k50,-0.097,-0.155,-0.004,0.887,0.152,-0.048
std_persons_log_k50,0.008,0.014,-0.216,0.166,0.715,0.11
mean_relief_k50,0.134,0.026,0.94,-0.039,-0.171,0.055
std_relief_k50,0.049,0.057,0.148,-0.053,0.101,0.726
mean_protected_share_k100,0.154,0.937,0.166,-0.085,-0.01,0.012
std_protected_share_k100,0.068,0.841,-0.053,-0.099,0.058,0.036
mean_dist_turbine_log_k100,0.965,0.214,-0.001,-0.072,0.081,0.084
std_dist_turbine_log_k100,-0.786,-0.031,-0.098,0.036,-0.008,-0.03
mean_persons_log_k100,-0.088,-0.164,-0.037,0.954,0.22,-0.036
std_persons_log_k100,0.068,0.038,-0.061,0.185,0.975,0.01
mean_relief_k100,0.138,0.027,0.958,-0.045,-0.149,0.145
std_relief_k100,0.102,0.033,0.55,-0.056,0.081,0.726
mean_protected_share_k250,0.215,0.872,0.18,-0.126,0.005,0.038
std_protected_share_k250,0.163,0.787,-0.044,-0.116,0.063,0.012
mean_dist_turbine_log_k250,0.944,0.238,0.009,-0.067,0.072,0.075
std_dist_turbine_log_k250,-0.821,-0.077,-0.171,0.041,0.016,-0.038
mean_persons_log_k250,-0.081,-0.186,-0.047,0.852,0.296,-0.009
std_persons_log_k250,0.137,0.1,-0.066,0.261,0.756,0.067
mean_relief_k250,0.144,0.043,0.908,-0.021,-0.115,0.257
std_relief_k250,0.11,0.063,0.62,0.045,0.029,0.586
