variable,F1,F2,F3,F4,F5
mean_b1900_1910_k5,0.089,-0.014,0.598,0.184,0.091
std_b1900_1910_k5,0.053,0.016,0.452,0.201,0.076
mean_b1900_1910_k10,0.124,0.015,0.701,0.155,0.144
std_b1900_1910_k10,0.106,0.054,0.548,0.203,0.122
mean_b1900_1910_k25,0.337,0.105,0.713,0.018,0.255
std_b1900_1910_k25,0.355,0.168,0.534,0.066,0.208
mean_b1900_1910_k50,0.553,0.184,0.588,-0.06,0.297
std_b1900_1910_k50,0.572,0.249,0.379,0.031,0.224
mean_b1900_1910_k100,0.805,0.233,0.303,0.033,0.305
std_b1900_1910_k100,0.783,0.274,0.192,0.121,0.272
mean_b1930_k5,0.068,0.182,0.555,0.188,-0.008
std_b1930_k5,0.091,0.171,0.313,0.144,0.028
mean_b1930_k10,0.099,0.397,0.664,0.124,0.056
std_b1930_k10,0.135,0.434,0.46,0.125,0.065
mean_b1930_k25,0.404,0.538,0.562,-0.041,0.139
std_b1930_k25,0.404,0.567,0.352,0.027,0.091
mean_b1930_k50,0.713,0.493,0.241,0.141,0.153
std_b1930_k50,0.63,0.543,0.122,0.189,0.196
mean_b1930_k100,0.56,0.565,0.131,0.364,0.224
std_b1930_k100,0.521,0.549,0.054,0.388,0.267
mean_b1801_1899_k5,0.211,0.051,0.768,0.006,0.122
std_b1801_1899_k5,0.24,0.103,0.587,0.052,0.124
mean_b1801_1899_k10,0.437,0.147,0.698,-0.104,0.205
std_b1801_1899_k10,0.448,0.215,0.502,-0.024,0.17
mean_b1801_1899_k25,0.788,0.232,0.374,-0.037,0.227
std_b1801_1899_k25,0.76,0.288,0.133,0.105,0.127
mean_b1801_1899_k50,0.812,0.332,0.178,0.067,0.24
std_b1801_1899_k50,0.713,0.4,0.101,0.174,0.198
mean_b1801_1899_k100,0.498,0.517,0.088,0.321,0.31
std_b1801_1899_k100,0.463,0.495,0.042,0.33,0.347
mean_b1920_k5,0.134,0.116,0.72,0.154,-0.027
std_b1920_k5,0.12,0.177,0.49,0.129,-0.036
mean_b1920_k10,0.251,0.184,0.776,0.1,-0.009
std_b1920_k10,0.282,0.241,0.563,0.179,-0.032
mean_b1920_k25,0.663,0.271,0.496,0.017,0.05
std_b1920_k25,0.673,0.291,0.234,0.14,-0.004
mean_b1920_k50,0.796,0.316,0.232,0.178,0.027
std_b1920_k50,0.768,0.302,0.149,0.231,0.041
mean_b1920_k100,0.535,0.54,0.171,0.414,-0.004
std_b1920_k100,0.504,0.55,0.142,0.366,0.059
mean_b2000_k5,0.298,0.085,0.414,0.422,-0.058
std_b2000_k5,0.212,0.159,0.224,0.321,-0.016
mean_b2000_k10,0.349,0.168,0.42,0.43,-0.096
std_b2000_k10,0.268,0.27,0.235,0.329,-0.065
mean_b2000_k25,0.348,0.407,0.393,0.371,-0.263
std_b2000_k25,0.247,0.515,0.179,0.218,-0.28
mean_b2000_k50,0.428,0.404,0.406,0.268,-0.279
std_b2000_k50,0.29,0.418,0.215,0.074,-0.287
mean_b2000_k100,0.507,0.483,0.243,0.196,-0.335
std_b2000_k100,0.382,0.46,0.118,-0.019,-0.461
mean_b1910_k5,0.147,0.093,0.276,0.597,-0.127
std_b1910_k5,0.195,0.14,0.185,0.439,-0.091
mean_b1910_k10,0.174,0.044,0.284,0.742,-0.057
std_b1910_k10,0.268,0.095,0.29,0.676,-0.104
mean_b1910_k25,0.177,0.126,0.147,0.786,0.1
std_b1910_k25,0.181,0.136,0.171,0.744,0.062
mean_b1910_k50,0.13,0.191,0.141,0.773,0.194
std_b1910_k50,0.07,0.197,0.151,0.7,0.14
mean_b1910_k100,0.152,0.366,0.135,0.593,0.311
std_b1910_k100,0.046,0.287,0.097,0.529,0.328
mean_b1960_k5,0.041,0.343,0.393,0.279,0.092
std_b1960_k5,-0.002,0.341,0.24,0.113,0.053
mean_b1960_k10,0.035,0.498,0.392,0.248,0.113
std_b1960_k10,-0.001,0.475,0.199,0.09,0.041
mean_b1960_k25,0.143,0.555,0.295,0.289,0.194
std_b1960_k25,0.135,0.485,0.101,0.156,0.089
mean_b1960_k50,0.259,0.56,0.197,0.341,0.355
std_b1960_k50,0.247,0.415,-0.013,0.221,0.279
mean_b1960_k100,0.369,0.519,0.17,0.436,0.371
std_b1960_k100,0.378,0.462,0.034,0.329,0.323
mean_b1970_k5,0.208,0.424,0.343,0.091,0.17
std_b1970_k5,0.246,0.372,0.183,0.044,0.119
mean_b1970_k10,0.224,0.509,0.301,0.148,0.181
std_b1970_k10,0.236,0.461,0.106,0.137,0.097
mean_b1970_k25,0.298,0.565,0.343,0.198,0.173
